frozenset({'2'}):3340
frozenset({'4'}):3362
frozenset({'0'}):3034
frozenset({'9'}):3369
frozenset({'8'}):3409
frozenset({'6'}):3264
frozenset({' '}):3566
frozenset({'3'}):3325
frozenset({'5'}):3359
frozenset({'1'}):3320
frozenset({'7'}):3386
frozenset({'1', '6'}):3084
frozenset({' ', '7'}):3386
frozenset({'7', '3'}):3180
frozenset({'8', '3'}):3191
frozenset({'4', '8'}):3226
frozenset({'5', '2'}):3164
frozenset({' ', '2'}):3340
frozenset({'4', '6'}):3098
frozenset({'0', '9'}):2901
frozenset({'5', '3'}):3163
frozenset({'7', '9'}):3206
frozenset({'4', '5'}):3184
frozenset({'4', '3'}):3167
frozenset({' ', '8'}):3409
frozenset({'6', '2'}):3090
frozenset({'4', '2'}):3168
frozenset({'8', '6'}):3146
frozenset({'1', '3'}):3119
frozenset({' ', '5'}):3359
frozenset({'1', '9'}):3167
frozenset({' ', '3'}):3325
frozenset({'4', ' '}):3362
frozenset({'1', '2'}):3139
frozenset({'5', '8'}):3228
frozenset({'3', '2'}):3147
frozenset({'0', '5'}):2895
frozenset({'7', '6'}):3138
frozenset({' ', '1'}):3320
frozenset({'5', '7'}):3211
frozenset({' ', '9'}):3369
frozenset({'9', '3'}):3158
frozenset({'0', '7'}):2904
frozenset({'4', '0'}):2903
frozenset({'5', '9'}):3189
frozenset({'7', '8'}):3248
frozenset({'0', '8'}):2910
frozenset({'9', '8'}):3227
frozenset({'0', '2'}):2870
frozenset({'1', '7'}):3174
frozenset({'4', '1'}):3164
frozenset({'8', '2'}):3218
frozenset({'4', '9'}):3181
frozenset({'0', '6'}):2798
frozenset({'0', ' '}):3034
frozenset({'5', '1'}):3151
frozenset({'4', '7'}):3212
frozenset({'9', '2'}):3181
frozenset({'1', '8'}):3197
frozenset({'7', '2'}):3193
frozenset({' ', '6'}):3264
frozenset({'3', '6'}):3054
frozenset({'0', '1'}):2852
frozenset({'9', '6'}):3114
frozenset({'0', '3'}):2867
frozenset({'5', '6'}):3084
frozenset({'0', '1', '3'}):2708
frozenset({'9', '8', '3'}):3034
frozenset({'5', '7', '8'}):3094
frozenset({'7', '8', '6'}):3034
frozenset({'4', '8', '3'}):3051
frozenset({'5', ' ', '2'}):3164
frozenset({' ', '1', '5'}):3151
frozenset({'0', '5', '6'}):2677
frozenset({' ', '1', '6'}):3084
frozenset({'5', '9', '6'}):2955
frozenset({'7', '9', '3'}):3028
frozenset({'5', '7', '3'}):3044
frozenset({' ', '9', '8'}):3227
frozenset({'1', '2', '6'}):2936
frozenset({'6', '7', '2'}):2978
frozenset({'5', '7', '2'}):3041
frozenset({'0', '8', '3'}):2757
frozenset({'3', '9', '2'}):3007
frozenset({'1', '9', '3'}):2990
frozenset({'0', ' ', '7'}):2904
frozenset({'1', '7', '6'}):2973
frozenset({'0', ' ', '5'}):2895
frozenset({'0', ' ', '6'}):2798
frozenset({'5', '1', '6'}):2928
frozenset({'4', '9', '2'}):3020
frozenset({'4', '0', '8'}):2793
frozenset({'5', '6', '3'}):2914
frozenset({'7', '9', '6'}):2998
frozenset({' ', '1', '3'}):3119
frozenset({'0', '5', '7'}):2783
frozenset({'0', '3', '6'}):2653
frozenset({'4', '5', '8'}):3067
frozenset({'3', ' ', '2'}):3147
frozenset({'4', '8', '6'}):2993
frozenset({' ', '5', '6'}):3084
frozenset({' ', '9', '6'}):3114
frozenset({' ', '6', '3'}):3054
frozenset({'4', '8', '2'}):3055
frozenset({' ', '7', '9'}):3206
frozenset({'5', ' ', '3'}):3163
frozenset({'0', '7', '2'}):2762
frozenset({'4', '1', '8'}):3050
frozenset({'1', '9', '8'}):3055
frozenset({'9', '8', '2'}):3068
frozenset({'4', ' ', '3'}):3167
frozenset({'0', ' ', '1'}):2852
frozenset({'0', ' ', '2'}):2870
frozenset({'5', '1', '2'}):2991
frozenset({'4', '7', '2'}):3044
frozenset({'5', '1', '3'}):2983
frozenset({'4', '7', '3'}):3036
frozenset({'4', '5', '9'}):3027
frozenset({'4', '9', '3'}):3013
frozenset({'6', '9', '2'}):2970
frozenset({'5', '6', '2'}):2930
frozenset({'7', '2', '3'}):3026
frozenset({'0', '5', '8'}):2793
frozenset({' ', '7', '8'}):3248
frozenset({'4', '1', '6'}):2946
frozenset({'7', '8', '2'}):3086
frozenset({'0', '7', '9'}):2780
frozenset({'4', ' ', '9'}):3181
frozenset({'1', '8', '3'}):3009
frozenset({'5', '9', '8'}):3070
frozenset({'0', '6', '2'}):2669
frozenset({'0', '4', '7'}):2788
frozenset({'4', '5', '0'}):2782
frozenset({'0', '4', '9'}):2778
frozenset({'6', '8', '3'}):2952
frozenset({'4', ' ', '2'}):3168
frozenset({' ', '6', '2'}):3090
frozenset({'0', '1', '2'}):2715
frozenset({'5', '8', '2'}):3060
frozenset({'4', '1', '7'}):3036
frozenset({' ', '8', '6'}):3146
frozenset({'3', '5', '2'}):3006
frozenset({'7', '9', '2'}):3045
frozenset({'4', '9', '6'}):2955
frozenset({'0', ' ', '3'}):2867
frozenset({'3', '1', '6'}):2900
