frozenset({'2'}):46182
frozenset({'4'}):46293
frozenset({'0'}):44316
frozenset({'9'}):46360
frozenset({'8'}):46540
frozenset({'6'}):45861
frozenset({' '}):47537
frozenset({'3'}):46072
frozenset({'5'}):46302
frozenset({'1'}):46059
frozenset({'7'}):46461
frozenset({'1', '6'}):44731
frozenset({' ', '7'}):46461
frozenset({'7', '3'}):45195
frozenset({'8', '3'}):45237
frozenset({'4', '8'}):45435
frozenset({'5', '2'}):45137
frozenset({' ', '2'}):46182
frozenset({'4', '6'}):44850
frozenset({'0', '9'}):43493
frozenset({'5', '3'}):45077
frozenset({'7', '9'}):45400
frozenset({'4', '5'}):45223
frozenset({'4', '3'}):45097
frozenset({' ', '8'}):46540
frozenset({'6', '2'}):44787
frozenset({'4', '2'}):45093
frozenset({'8', '6'}):45076
frozenset({'1', '3'}):44831
frozenset({' ', '5'}):46302
frozenset({'1', '9'}):45122
frozenset({' ', '3'}):46072
frozenset({'4', ' '}):46293
frozenset({'1', '2'}):44949
frozenset({'5', '8'}):45480
frozenset({'3', '2'}):44983
frozenset({'0', '5'}):43474
frozenset({'7', '6'}):45014
frozenset({' ', '1'}):46059
frozenset({'5', '7'}):45393
frozenset({' ', '9'}):46360
frozenset({'9', '3'}):45050
frozenset({'0', '7'}):43542
frozenset({'4', '0'}):43462
frozenset({'5', '9'}):45281
frozenset({'7', '8'}):45589
frozenset({'0', '8'}):43585
frozenset({'9', '8'}):45476
frozenset({'0', '2'}):43320
frozenset({'1', '7'}):45159
frozenset({'4', '1'}):45079
frozenset({'8', '2'}):45377
frozenset({'4', '9'}):45260
frozenset({'0', '6'}):43063
frozenset({'0', ' '}):44316
frozenset({'5', '1'}):45052
frozenset({'4', '7'}):45398
frozenset({'9', '2'}):45239
frozenset({'1', '8'}):45222
frozenset({'7', '2'}):45263
frozenset({' ', '6'}):45861
frozenset({'3', '6'}):44634
frozenset({'0', '1'}):43233
frozenset({'9', '6'}):44915
frozenset({'0', '3'}):43303
frozenset({'5', '6'}):44809
frozenset({'0', '1', '3'}):42345
frozenset({'9', '8', '3'}):44296
frozenset({'5', '7', '8'}):44668
frozenset({'7', '8', '6'}):44325
frozenset({'4', '8', '3'}):44359
frozenset({'5', ' ', '2'}):45137
frozenset({' ', '1', '5'}):45052
frozenset({'0', '5', '6'}):42332
frozenset({' ', '1', '6'}):44731
frozenset({'5', '9', '6'}):43986
frozenset({'7', '9', '3'}):44267
frozenset({'5', '7', '3'}):44325
frozenset({' ', '9', '8'}):45476
frozenset({'1', '2', '6'}):43814
frozenset({'6', '7', '2'}):44032
frozenset({'5', '7', '2'}):44341
frozenset({'0', '8', '3'}):42656
frozenset({'3', '9', '2'}):44134
frozenset({'1', '9', '3'}):44011
frozenset({'0', ' ', '7'}):43542
frozenset({'1', '7', '6'}):43996
frozenset({'0', ' ', '5'}):43474
frozenset({'0', ' ', '6'}):43063
frozenset({'5', '1', '6'}):43836
frozenset({'4', '9', '2'}):44254
frozenset({'4', '0', '8'}):42821
frozenset({'5', '6', '3'}):43770
frozenset({'7', '9', '6'}):44154
frozenset({' ', '1', '3'}):44831
frozenset({'0', '5', '7'}):42797
frozenset({'0', '3', '6'}):42177
frozenset({'4', '5', '8'}):44499
frozenset({'3', ' ', '2'}):44983
frozenset({'4', '8', '6'}):44157
frozenset({' ', '5', '6'}):44809
frozenset({' ', '9', '6'}):44915
frozenset({' ', '6', '3'}):44634
frozenset({'4', '8', '2'}):44377
frozenset({' ', '7', '9'}):45400
frozenset({'5', ' ', '3'}):45077
frozenset({'0', '7', '2'}):42642
frozenset({'4', '1', '8'}):44328
frozenset({'1', '9', '8'}):44369
frozenset({'9', '8', '2'}):44518
frozenset({'4', ' ', '3'}):45097
frozenset({'0', ' ', '1'}):43233
frozenset({'0', ' ', '2'}):43320
frozenset({'5', '1', '2'}):44080
frozenset({'4', '7', '2'}):44327
frozenset({'5', '1', '3'}):44005
frozenset({'4', '7', '3'}):44337
frozenset({'4', '5', '9'}):44318
frozenset({'4', '9', '3'}):44183
frozenset({'6', '9', '2'}):44016
frozenset({'5', '6', '2'}):43851
frozenset({'7', '2', '3'}):44215
frozenset({'0', '5', '8'}):42872
frozenset({' ', '7', '8'}):45589
frozenset({'4', '1', '6'}):43886
frozenset({'7', '8', '2'}):44548
frozenset({'0', '7', '9'}):42796
frozenset({'4', ' ', '9'}):45260
frozenset({'1', '8', '3'}):44107
frozenset({'5', '9', '8'}):44542
frozenset({'0', '6', '2'}):42251
frozenset({'0', '4', '7'}):42790
frozenset({'4', '5', '0'}):42728
frozenset({'0', '4', '9'}):42718
frozenset({'6', '8', '3'}):43962
frozenset({'4', ' ', '2'}):45093
frozenset({' ', '6', '2'}):44787
frozenset({'0', '1', '2'}):42394
frozenset({'5', '8', '2'}):44461
frozenset({'4', '1', '7'}):44303
frozenset({' ', '8', '6'}):45076
frozenset({'3', '5', '2'}):44116
frozenset({'7', '9', '2'}):44392
frozenset({'4', '9', '6'}):43994
frozenset({'0', ' ', '3'}):43303
frozenset({'3', '1', '6'}):43653
frozenset({' ', '8', '2'}):45377
frozenset({'4', '7', '6'}):44146
frozenset({'4', '5', '3'}):44204
frozenset({'0', '8', '6'}):42496
frozenset({' ', '1', '8'}):45222
frozenset({'1', '2', '3'}):43928
frozenset({'5', '7', '6'}):44087
frozenset({'4', ' ', '0'}):43462
frozenset({'6', '9', '3'}):43797
frozenset({'5', '9', '3'}):44162
frozenset({' ', '7', '2'}):45263
frozenset({'0', '5', '2'}):42606
frozenset({' ', '1', '2'}):44949
frozenset({'0', '1', '6'}):42221
frozenset({' ', '5', '9'}):45281
frozenset({' ', '9', '3'}):45050
frozenset({'0', '1', '7'}):42569
frozenset({' ', '5', '7'}):45393
frozenset({'7', '9', '8'}):44632
frozenset({'5', '8', '3'}):44374
frozenset({'4', '7', '8'}):44635
frozenset({'5', '1', '8'}):44339
frozenset({'0', '5', '9'}):42739
frozenset({'0', '7', '3'}):42662
frozenset({' ', '1', '9'}):45122
frozenset({'6', '8', '2'}):44119
frozenset({'0', '9', '6'}):42392
frozenset({'7', '6', '3'}):43928
frozenset({'1', '9', '2'}):44172
frozenset({'0', '1', '8'}):42596
frozenset({'4', ' ', '8'}):45435
frozenset({'3', '6', '2'}):43761
frozenset({'0', '7', '8'}):42887
frozenset({'5', '1', '7'}):44275
