frozenset({'2'}):38185
frozenset({'4'}):38296
frozenset({'0'}):36326
frozenset({'9'}):38363
frozenset({'8'}):38543
frozenset({'6'}):37868
frozenset({' '}):39540
frozenset({'3'}):38078
frozenset({'5'}):38305
frozenset({'1'}):38062
frozenset({'7'}):38464
frozenset({'1', '6'}):36738
frozenset({' ', '7'}):38464
frozenset({'7', '3'}):37201
frozenset({'8', '3'}):37243
frozenset({'4', '8'}):37438
frozenset({'5', '2'}):37140
frozenset({' ', '2'}):38185
frozenset({'4', '6'}):36857
frozenset({'0', '9'}):35503
frozenset({'5', '3'}):37083
frozenset({'7', '9'}):37403
frozenset({'4', '5'}):37226
frozenset({'4', '3'}):37103
frozenset({' ', '8'}):38543
frozenset({'6', '2'}):36794
frozenset({'4', '2'}):37096
frozenset({'8', '6'}):37083
frozenset({'1', '3'}):36837
frozenset({' ', '5'}):38305
frozenset({'1', '9'}):37125
frozenset({' ', '3'}):38078
frozenset({'4', ' '}):38296
frozenset({'1', '2'}):36952
frozenset({'5', '8'}):37483
frozenset({'3', '2'}):36989
frozenset({'0', '5'}):35484
frozenset({'7', '6'}):37021
frozenset({' ', '1'}):38062
frozenset({'5', '7'}):37396
frozenset({' ', '9'}):38363
frozenset({'9', '3'}):37056
frozenset({'0', '7'}):35552
frozenset({'4', '0'}):35472
frozenset({'5', '9'}):37284
frozenset({'7', '8'}):37592
frozenset({'0', '8'}):35595
frozenset({'9', '8'}):37479
frozenset({'0', '2'}):35330
frozenset({'1', '7'}):37162
frozenset({'4', '1'}):37082
frozenset({'8', '2'}):37380
frozenset({'4', '9'}):37263
frozenset({'0', '6'}):35077
frozenset({'0', ' '}):36326
frozenset({'5', '1'}):37055
frozenset({'4', '7'}):37401
frozenset({'9', '2'}):37242
frozenset({'1', '8'}):37225
frozenset({'7', '2'}):37266
frozenset({' ', '6'}):37868
frozenset({'3', '6'}):36644
frozenset({'0', '1'}):35243
frozenset({'9', '6'}):36922
frozenset({'0', '3'}):35316
frozenset({'5', '6'}):36816
frozenset({'0', '1', '3'}):34358
frozenset({'9', '8', '3'}):36302
frozenset({'5', '7', '8'}):36671
frozenset({'7', '8', '6'}):36332
frozenset({'4', '8', '3'}):36365
frozenset({'5', ' ', '2'}):37140
frozenset({' ', '1', '5'}):37055
frozenset({'0', '5', '6'}):34346
frozenset({' ', '1', '6'}):36738
frozenset({'5', '9', '6'}):35993
frozenset({'7', '9', '3'}):36273
frozenset({'5', '7', '3'}):36331
frozenset({' ', '9', '8'}):37479
frozenset({'1', '2', '6'}):35821
frozenset({'6', '7', '2'}):36039
frozenset({'5', '7', '2'}):36344
frozenset({'0', '8', '3'}):34669
frozenset({'3', '9', '2'}):36140
frozenset({'1', '9', '3'}):36017
frozenset({'0', ' ', '7'}):35552
frozenset({'1', '7', '6'}):36003
frozenset({'0', ' ', '5'}):35484
frozenset({'0', ' ', '6'}):35077
frozenset({'5', '1', '6'}):35843
frozenset({'4', '9', '2'}):36257
frozenset({'4', '0', '8'}):34831
frozenset({'5', '6', '3'}):35780
frozenset({'7', '9', '6'}):36161
frozenset({' ', '1', '3'}):36837
frozenset({'0', '5', '7'}):34807
frozenset({'0', '3', '6'}):34194
frozenset({'4', '5', '8'}):36502
frozenset({'3', ' ', '2'}):36989
frozenset({'4', '8', '6'}):36164
frozenset({' ', '5', '6'}):36816
frozenset({' ', '9', '6'}):36922
frozenset({' ', '6', '3'}):36644
frozenset({'4', '8', '2'}):36380
frozenset({' ', '7', '9'}):37403
frozenset({'5', ' ', '3'}):37083
frozenset({'0', '7', '2'}):34652
frozenset({'4', '1', '8'}):36331
frozenset({'1', '9', '8'}):36372
frozenset({'9', '8', '2'}):36521
frozenset({'4', ' ', '3'}):37103
frozenset({'0', ' ', '1'}):35243
frozenset({'0', ' ', '2'}):35330
frozenset({'5', '1', '2'}):36083
frozenset({'4', '7', '2'}):36330
frozenset({'5', '1', '3'}):36011
frozenset({'4', '7', '3'}):36343
frozenset({'4', '5', '9'}):36321
frozenset({'4', '9', '3'}):36189
