frozenset({'2'}):28055
frozenset({'4'}):28166
frozenset({'0'}):26196
frozenset({'9'}):28233
frozenset({'8'}):28413
frozenset({'6'}):27738
frozenset({' '}):29410
frozenset({'3'}):27948
frozenset({'5'}):28175
frozenset({'1'}):27932
frozenset({'7'}):28334
frozenset({'1', '6'}):26608
frozenset({' ', '7'}):28334
frozenset({'7', '3'}):27071
frozenset({'8', '3'}):27113
frozenset({'4', '8'}):27308
frozenset({'5', '2'}):27010
frozenset({' ', '2'}):28055
frozenset({'4', '6'}):26727
frozenset({'0', '9'}):25373
frozenset({'5', '3'}):26953
frozenset({'7', '9'}):27273
frozenset({'4', '5'}):27096
frozenset({'4', '3'}):26973
frozenset({' ', '8'}):28413
frozenset({'6', '2'}):26664
frozenset({'4', '2'}):26966
frozenset({'8', '6'}):26953
frozenset({'1', '3'}):26707
frozenset({' ', '5'}):28175
frozenset({'1', '9'}):26995
frozenset({' ', '3'}):27948
frozenset({'4', ' '}):28166
frozenset({'1', '2'}):26822
frozenset({'5', '8'}):27353
frozenset({'3', '2'}):26859
frozenset({'0', '5'}):25354
frozenset({'7', '6'}):26891
frozenset({' ', '1'}):27932
frozenset({'5', '7'}):27266
frozenset({' ', '9'}):28233
frozenset({'9', '3'}):26926
frozenset({'0', '7'}):25422
frozenset({'4', '0'}):25342
frozenset({'5', '9'}):27154
frozenset({'7', '8'}):27462
frozenset({'0', '8'}):25465
frozenset({'9', '8'}):27349
frozenset({'0', '2'}):25200
frozenset({'1', '7'}):27032
frozenset({'4', '1'}):26952
frozenset({'8', '2'}):27250
frozenset({'4', '9'}):27133
frozenset({'0', '6'}):24947
frozenset({'0', ' '}):26196
frozenset({'5', '1'}):26925
frozenset({'4', '7'}):27271
frozenset({'9', '2'}):27112
frozenset({'1', '8'}):27095
frozenset({'7', '2'}):27136
frozenset({' ', '6'}):27738
frozenset({'3', '6'}):26514
frozenset({'0', '1'}):25113
frozenset({'9', '6'}):26792
frozenset({'0', '3'}):25186
frozenset({'5', '6'}):26686
frozenset({'0', '1', '3'}):24228
frozenset({'9', '8', '3'}):26172
frozenset({'5', '7', '8'}):26541
frozenset({'7', '8', '6'}):26202
frozenset({'4', '8', '3'}):26235
frozenset({'5', ' ', '2'}):27010
frozenset({' ', '1', '5'}):26925
frozenset({'0', '5', '6'}):24216
frozenset({' ', '1', '6'}):26608
frozenset({'5', '9', '6'}):25863
frozenset({'7', '9', '3'}):26143
frozenset({'5', '7', '3'}):26201
frozenset({' ', '9', '8'}):27349
frozenset({'1', '2', '6'}):25691
frozenset({'6', '7', '2'}):25909
frozenset({'5', '7', '2'}):26214
frozenset({'0', '8', '3'}):24539
frozenset({'3', '9', '2'}):26010
frozenset({'1', '9', '3'}):25887
frozenset({'0', ' ', '7'}):25422
frozenset({'1', '7', '6'}):25873
frozenset({'0', ' ', '5'}):25354
frozenset({'0', ' ', '6'}):24947
frozenset({'5', '1', '6'}):25713
frozenset({'4', '9', '2'}):26127
frozenset({'4', '0', '8'}):24701
frozenset({'5', '6', '3'}):25650
frozenset({'7', '9', '6'}):26031
frozenset({' ', '1', '3'}):26707
frozenset({'0', '5', '7'}):24677
frozenset({'0', '3', '6'}):24064
frozenset({'4', '5', '8'}):26372
frozenset({'3', ' ', '2'}):26859
frozenset({'4', '8', '6'}):26034
frozenset({' ', '5', '6'}):26686
frozenset({' ', '9', '6'}):26792
frozenset({' ', '6', '3'}):26514
frozenset({'4', '8', '2'}):26250
frozenset({' ', '7', '9'}):27273
frozenset({'5', ' ', '3'}):26953
frozenset({'0', '7', '2'}):24522
frozenset({'4', '1', '8'}):26201
frozenset({'1', '9', '8'}):26242
frozenset({'9', '8', '2'}):26391
frozenset({'4', ' ', '3'}):26973
frozenset({'0', ' ', '1'}):25113
frozenset({'0', ' ', '2'}):25200
frozenset({'5', '1', '2'}):25953
frozenset({'4', '7', '2'}):26200
frozenset({'5', '1', '3'}):25881
frozenset({'4', '7', '3'}):26213
frozenset({'4', '5', '9'}):26191
frozenset({'4', '9', '3'}):26059
frozenset({'6', '9', '2'}):25893
frozenset({'5', '6', '2'}):25728
frozenset({'7', '2', '3'}):26091
frozenset({'0', '5', '8'}):24752
frozenset({' ', '7', '8'}):27462
frozenset({'4', '1', '6'}):25763
frozenset({'7', '8', '2'}):26421
frozenset({'0', '7', '9'}):24676
frozenset({'4', ' ', '9'}):27133
frozenset({'1', '8', '3'}):25983
frozenset({'5', '9', '8'}):26415
frozenset({'0', '6', '2'}):24135
frozenset({'0', '4', '7'}):24670
frozenset({'4', '5', '0'}):24608
frozenset({'0', '4', '9'}):24598
frozenset({'6', '8', '3'}):25842
frozenset({'4', ' ', '2'}):26966
frozenset({' ', '6', '2'}):26664
frozenset({'0', '1', '2'}):24274
frozenset({'5', '8', '2'}):26334
frozenset({'4', '1', '7'}):26176
frozenset({' ', '8', '6'}):26953
frozenset({'3', '5', '2'}):25992
frozenset({'7', '9', '2'}):26265
frozenset({'4', '9', '6'}):25871
frozenset({'0', ' ', '3'}):25186
frozenset({'3', '1', '6'}):25533
frozenset({' ', '8', '2'}):27250
frozenset({'4', '7', '6'}):26023
frozenset({'4', '5', '3'}):26080
frozenset({'0', '8', '6'}):24380
frozenset({' ', '1', '8'}):27095
frozenset({'1', '2', '3'}):25804
frozenset({'5', '7', '6'}):25964
frozenset({'4', ' ', '0'}):25342
frozenset({'6', '9', '3'}):25677
frozenset({'5', '9', '3'}):26038
frozenset({' ', '7', '2'}):27136
frozenset({'0', '5', '2'}):24486
frozenset({' ', '1', '2'}):26822
frozenset({'0', '1', '6'}):24105
frozenset({' ', '5', '9'}):27154
frozenset({' ', '9', '3'}):26926
frozenset({'0', '1', '7'}):24449
frozenset({' ', '5', '7'}):27266
frozenset({'7', '9', '8'}):26505
frozenset({'5', '8', '3'}):26250
frozenset({'4', '7', '8'}):26508
frozenset({'5', '1', '8'}):26212
frozenset({'0', '5', '9'}):24619
frozenset({'0', '7', '3'}):24545
frozenset({' ', '1', '9'}):26995
frozenset({'6', '8', '2'}):25996
frozenset({'0', '9', '6'}):24276
frozenset({'7', '6', '3'}):25808
frozenset({'1', '9', '2'}):26045
frozenset({'0', '1', '8'}):24476
frozenset({'4', ' ', '8'}):27308
frozenset({'3', '6', '2'}):25641
frozenset({'0', '7', '8'}):24767
frozenset({'5', '1', '7'}):26148
frozenset({'1', '7', '9'}):26183
frozenset({'1', '7', '3'}):25954
frozenset({'0', ' ', '9'}):25373
frozenset({'5', '1', '9'}):26096
frozenset({'1', '9', '6'}):25800
frozenset({'5', '9', '2'}):26170
frozenset({'4', '2', '6'}):25750
frozenset({' ', '8', '3'}):27113
frozenset({'4', '5', '2'}):26044
frozenset({'4', '5', '1'}):26057
frozenset({'0', '9', '3'}):24453
frozenset({' ', '1', '7'}):27032
frozenset({'0', '5', '3'}):24479
frozenset({'4', '5', ' '}):27096
frozenset({'0', '7', '6'}):24293
frozenset({'4', '9', '8'}):26369
frozenset({'7', '8', '3'}):26322
frozenset({'5', '8', '6'}):26010
frozenset({'9', '8', '6'}):26084
frozenset({'4', '0', '3'}):24443
frozenset({'1', '8', '2'}):26127
frozenset({' ', '7', '6'}):26891
frozenset({'4', '0', '6'}):24215
frozenset({'3', '0', '2'}):24357
frozenset({'1', '8', '6'}):25906
frozenset({' ', '9', '2'}):27112
frozenset({'0', ' ', '8'}):25465
frozenset({'4', ' ', '7'}):27271
frozenset({'4', '1', '3'}):25905
frozenset({'0', '8', '2'}):24593
frozenset({' ', '5', '8'}):27353
frozenset({'4', '2', '3'}):25971
frozenset({'4', '1', '2'}):25938
frozenset({'4', '5', '6'}):25806
frozenset({'4', '3', '6'}):25688
frozenset({'4', '5', '7'}):26329
frozenset({'4', '7', '9'}):26332
frozenset({'0', '9', '8'}):24710
frozenset({'1', '7', '2'}):26024
frozenset({'4', '1', '9'}):26114
frozenset({'5', '7', '9'}):26325
frozenset({'8', '2', '3'}):26171
frozenset({'4', ' ', '6'}):26727
frozenset({'4', '1', '0'}):24411
frozenset({'4', '0', '2'}):24426
frozenset({'1', '7', '8'}):26288
frozenset({'0', '9', '2'}):24527
frozenset({'0', '5', '1'}):24390
frozenset({' ', '7', '3'}):27071
frozenset({'0', '1', '9'}):24457
frozenset({'4', ' ', '1'}):26952
frozenset({' ', '3', '4', '5'}):26080
frozenset({' ', '4', '7', '9'}):26332
frozenset({'2', '5', '8', '6'}):25143
frozenset({' ', '0', '5', '1'}):24390
frozenset({'4', '1', '7', '9'}):25407
frozenset({'4', '1', '0', '8'}):23842
frozenset({'2', '0', '1', '8'}):23736
frozenset({' ', '1', '8', '6'}):25906
frozenset({'2', '3', '1', '9'}):25106
frozenset({'4', '5', '1', '6'}):24961
frozenset({'1', '7', '9', '8'}):25516
frozenset({' ', '2', '4', '1'}):25938
frozenset({'3', '7', '8', '6'}):25213
frozenset({'5', '9', '8', '6'}):25246
frozenset({' ', '2', '4', '7'}):26200
frozenset({'7', '9', '8', '6'}):25414
frozenset({' ', '2', '4', '5'}):26044
frozenset({'3', '0', '5', '7'}):23905
frozenset({'3', '5', '7', '6'}):25037
frozenset({' ', '3', '4', '0'}):24443
frozenset({'2', '4', '7', '9'}):25417
frozenset({' ', '5', '8', '6'}):26010
frozenset({'2', '3', '4', '5'}):25182
frozenset({'2', '5', '7', '9'}):25426
frozenset({' ', '4', '8', '6'}):26034
frozenset({' ', '3', '0', '9'}):24453
frozenset({' ', '0', '5', '7'}):24677
frozenset({' ', '3', '0', '7'}):24545
frozenset({'0', '5', '9', '8'}):24063
frozenset({'4', '0', '9', '8'}):24019
frozenset({' ', '2', '3', '9'}):26010
frozenset({'2', '0', '9', '6'}):23579
frozenset({'3', '4', '1', '8'}):25245
frozenset({' ', '2', '1', '9'}):26045
frozenset({'0', '4', '7', '9'}):23986
frozenset({' ', '4', '0', '8'}):24701
frozenset({'2', '3', '0', '6'}):23387
frozenset({' ', '2', '3', '1'}):25804
frozenset({'2', '0', '1', '9'}):23729
frozenset({'2', '3', '7', '8'}):25467
frozenset({'2', '5', '9', '8'}):25554
frozenset({' ', '4', '7', '6'}):26023
frozenset({' ', '0', '1', '9'}):24457
frozenset({'3', '4', '5', '1'}):25161
frozenset({'2', '1', '9', '6'}):25016
frozenset({'5', '1', '7', '6'}):25073
frozenset({'0', '1', '7', '8'}):23875
frozenset({' ', '3', '0', '1'}):24228
frozenset({'4', '1', '9', '6'}):25027
frozenset({'4', '5', '1', '9'}):25312
frozenset({'0', '5', '7', '6'}):23642
frozenset({'3', '0', '9', '6'}):23461
frozenset({'1', '7', '8', '6'}):25247
frozenset({'3', '7', '9', '8'}):25471
frozenset({'2', '4', '8', '6'}):25147
frozenset({' ', '5', '7', '9'}):26325
frozenset({' ', '5', '9', '8'}):26415
frozenset({'2', '4', '7', '6'}):25127
frozenset({' ', '3', '7', '8'}):26322
frozenset({' ', '4', '9', '8'}):26369
frozenset({'2', '5', '7', '6'}):25080
frozenset({'3', '4', '5', '7'}):25421
frozenset({'3', '4', '7', '9'}):25376
frozenset({'3', '4', '5', '9'}):25255
frozenset({'0', '5', '8', '6'}):23726
frozenset({' ', '2', '3', '0'}):24357
frozenset({'4', '0', '8', '6'}):23713
frozenset({'2', '0', '7', '8'}):23975
frozenset({' ', '3', '4', '7'}):26213
frozenset({'4', '5', '1', '0'}):23773
frozenset({' ', '2', '3', '6'}):25641
frozenset({'2', '0', '5', '7'}):23874
frozenset({'2', '3', '0', '9'}):23739
frozenset({'2', '0', '5', '1'}):23646
frozenset({'2', '0', '1', '6'}):23395
frozenset({' ', '0', '1', '6'}):24105
frozenset({'1', '7', '9', '6'}):25132
frozenset({'5', '1', '7', '9'}):25382
frozenset({'3', '5', '1', '7'}):25223
frozenset({' ', '5', '1', '8'}):26212
frozenset({'2', '4', '1', '8'}):25304
frozenset({'0', '5', '7', '9'}):23998
frozenset({'2', '4', '9', '8'}):25487
frozenset({' ', '5', '7', '6'}):25964
frozenset({'4', '0', '8', '7'}):24094
frozenset({' ', '2', '0', '6'}):24135
frozenset({'3', '0', '9', '8'}):23857
frozenset({'0', '5', '7', '8'}):24134
frozenset({' ', '2', '3', '8'}):26171
frozenset({'3', '4', '7', '6'}):25081
frozenset({' ', '2', '5', '8'}):26334
frozenset({'4', '7', '9', '6'}):25237
frozenset({'3', '4', '5', '6'}):24905
frozenset({'2', '3', '5', '7'}):25327
frozenset({' ', '3', '8', '6'}):25842
frozenset({' ', '0', '5', '4'}):24608
frozenset({'3', '5', '9', '6'}):24898
frozenset({'2', '3', '5', '8'}):25399
frozenset({'2', '0', '5', '6'}):23489
frozenset({'2', '3', '1', '8'}):25193
frozenset({' ', '2', '3', '7'}):26091
frozenset({'4', '7', '8', '6'}):25403
frozenset({' ', '2', '5', '9'}):26170
frozenset({'4', '3', '0', '1'}):23606
frozenset({'3', '4', '1', '6'}):24830
frozenset({'2', '4', '1', '7'}):25254
frozenset({'2', '1', '7', '6'}):25026
frozenset({' ', '1', '7', '6'}):25873
frozenset({' ', '5', '1', '7'}):26148
frozenset({' ', '3', '5', '7'}):26201
frozenset({'0', '5', '1', '9'}):23795
frozenset({'3', '0', '5', '1'}):23613
frozenset({'1', '9', '8', '6'}):25166
frozenset({'2', '3', '4', '0'}):23673
frozenset({'0', '5', '9', '6'}):23614
frozenset({' ', '2', '0', '5'}):24486
frozenset({' ', '2', '0', '9'}):24527
frozenset({'3', '0', '8', '6'}):23560
frozenset({' ', '2', '0', '4'}):24426
frozenset({' ', '0', '5', '6'}):24216
frozenset({' ', '3', '4', '8'}):26235
frozenset({'0', '9', '8', '6'}):23758
frozenset({' ', '3', '9', '8'}):26172
frozenset({'2', '3', '8', '6'}):25057
frozenset({'2', '0', '5', '9'}):23869
frozenset({'2', '5', '1', '8'}):25346
frozenset({'3', '0', '4', '6'}):23423
frozenset({'0', '4', '9', '6'}):23605
frozenset({'4', '5', '1', '8'}):25404
frozenset({'3', '4', '5', '8'}):25445
frozenset({' ', '2', '5', '6'}):25728
frozenset({'4', '7', '9', '8'}):25657
frozenset({'2', '9', '8', '6'}):25285
frozenset({' ', '4', '5', '7'}):26329
frozenset({' ', '3', '4', '9'}):26059
frozenset({' ', '2', '1', '8'}):26127
frozenset({'3', '4', '1', '9'}):25164
frozenset({'2', '4', '1', '6'}):24920
frozenset({' ', '4', '1', '8'}):26201
frozenset({'2', '1', '7', '9'}):25309
frozenset({' ', '1', '7', '9'}):26183
frozenset({' ', '0', '7', '8'}):24767
frozenset({'3', '1', '9', '8'}):25228
frozenset({'2', '3', '4', '8'}):25350
frozenset({'0', '5', '1', '6'}):23453
frozenset({'0', '1', '7', '9'}):23850
frozenset({' ', '7', '9', '6'}):26031
frozenset({'2', '4', '5', '8'}):25434
frozenset({'3', '5', '8', '6'}):25060
frozenset({'4', '2', '0', '1'}):23631
frozenset({'3', '9', '8', '6'}):25065
frozenset({' ', '5', '1', '6'}):25713
frozenset({' ', '3', '1', '7'}):25954
frozenset({'3', '7', '9', '6'}):25040
frozenset({'2', '3', '5', '9'}):25222
frozenset({' ', '0', '5', '9'}):24619
frozenset({'4', '5', '0', '8'}):24064
frozenset({'2', '4', '7', '3'}):25315
frozenset({'2', '3', '9', '8'}):25388
frozenset({' ', '2', '5', '7'}):26214
frozenset({'2', '3', '0', '1'}):23532
frozenset({'4', '5', '8', '6'}):25200
frozenset({'4', '9', '8', '6'}):25250
frozenset({' ', '2', '7', '9'}):26265
frozenset({'3', '4', '5', '0'}):23820
frozenset({' ', '4', '1', '7'}):26176
frozenset({'3', '4', '0', '9'}):23777
frozenset({'4', '1', '9', '8'}):25440
frozenset({'2', '0', '7', '6'}):23543
frozenset({' ', '2', '1', '7'}):26024
frozenset({' ', '3', '4', '6'}):25688
frozenset({'4', '5', '1', '7'}):25382
frozenset({' ', '1', '7', '8'}):26288
frozenset({'2', '4', '1', '9'}):25240
frozenset({'5', '1', '9', '6'}):25001
frozenset({'3', '0', '1', '8'}):23653
frozenset({'2', '5', '1', '7'}):25250
frozenset({'3', '5', '1', '8'}):25255
frozenset({'2', '4', '5', '0'}):23796
