frozenset({'2'}):56827
frozenset({'4'}):56936
frozenset({'0'}):54949
frozenset({'9'}):57005
frozenset({'8'}):57185
frozenset({'6'}):56504
frozenset({' '}):58182
frozenset({'3'}):56715
frozenset({'5'}):56947
frozenset({'1'}):56704
frozenset({'7'}):57106
frozenset({'1', '6'}):55374
frozenset({' ', '7'}):57106
frozenset({'7', '3'}):55838
frozenset({'8', '3'}):55880
frozenset({'4', '8'}):56078
frozenset({'5', '2'}):55782
frozenset({' ', '2'}):56827
frozenset({'4', '6'}):55491
frozenset({'0', '9'}):54126
frozenset({'5', '3'}):55720
frozenset({'7', '9'}):56045
frozenset({'4', '5'}):55866
frozenset({'4', '3'}):55738
frozenset({' ', '8'}):57185
frozenset({'6', '2'}):55430
frozenset({'4', '2'}):55736
frozenset({'8', '6'}):55719
frozenset({'1', '3'}):55474
frozenset({' ', '5'}):56947
frozenset({'1', '9'}):55767
frozenset({' ', '3'}):56715
frozenset({'4', ' '}):56936
frozenset({'1', '2'}):55594
frozenset({'5', '8'}):56125
frozenset({'3', '2'}):55626
frozenset({'0', '5'}):54107
frozenset({'7', '6'}):55657
frozenset({' ', '1'}):56704
frozenset({'5', '7'}):56038
frozenset({' ', '9'}):57005
frozenset({'9', '3'}):55693
frozenset({'0', '7'}):54175
frozenset({'4', '0'}):54093
frozenset({'5', '9'}):55926
frozenset({'7', '8'}):56234
frozenset({'0', '8'}):54218
frozenset({'9', '8'}):56121
frozenset({'0', '2'}):53953
frozenset({'1', '7'}):55804
frozenset({'4', '1'}):55722
frozenset({'8', '2'}):56022
frozenset({'4', '9'}):55903
frozenset({'0', '6'}):53694
frozenset({'0', ' '}):54949
frozenset({'5', '1'}):55697
frozenset({'4', '7'}):56041
frozenset({'9', '2'}):55884
frozenset({'1', '8'}):55867
frozenset({'7', '2'}):55908
frozenset({' ', '6'}):56504
frozenset({'3', '6'}):55275
frozenset({'0', '1'}):53866
frozenset({'9', '6'}):55558
frozenset({'0', '3'}):53934
frozenset({'5', '6'}):55452
frozenset({'0', '1', '3'}):52976
frozenset({'9', '8', '3'}):54939
frozenset({'5', '7', '8'}):55313
frozenset({'7', '8', '6'}):54968
frozenset({'4', '8', '3'}):55000
frozenset({'5', ' ', '2'}):55782
frozenset({' ', '1', '5'}):55697
frozenset({'0', '5', '6'}):52963
frozenset({' ', '1', '6'}):55374
frozenset({'5', '9', '6'}):54629
frozenset({'7', '9', '3'}):54910
frozenset({'5', '7', '3'}):54968
frozenset({' ', '9', '8'}):56121
frozenset({'1', '2', '6'}):54457
frozenset({'6', '7', '2'}):54675
frozenset({'5', '7', '2'}):54986
frozenset({'0', '8', '3'}):53287
frozenset({'3', '9', '2'}):54777
frozenset({'1', '9', '3'}):54654
frozenset({'0', ' ', '7'}):54175
frozenset({'1', '7', '6'}):54639
frozenset({'0', ' ', '5'}):54107
frozenset({'0', ' ', '6'}):53694
frozenset({'5', '1', '6'}):54479
frozenset({'4', '9', '2'}):54897
frozenset({'4', '0', '8'}):53452
frozenset({'5', '6', '3'}):54411
frozenset({'7', '9', '6'}):54797
frozenset({' ', '1', '3'}):55474
frozenset({'0', '5', '7'}):53430
frozenset({'0', '3', '6'}):52806
frozenset({'4', '5', '8'}):55142
frozenset({'3', ' ', '2'}):55626
frozenset({'4', '8', '6'}):54798
frozenset({' ', '5', '6'}):55452
frozenset({' ', '9', '6'}):55558
frozenset({' ', '6', '3'}):55275
frozenset({'4', '8', '2'}):55020
frozenset({' ', '7', '9'}):56045
frozenset({'5', ' ', '3'}):55720
frozenset({'0', '7', '2'}):53275
frozenset({'4', '1', '8'}):54971
frozenset({'1', '9', '8'}):55014
frozenset({'9', '8', '2'}):55163
frozenset({'4', ' ', '3'}):55738
frozenset({'0', ' ', '1'}):53866
frozenset({'0', ' ', '2'}):53953
frozenset({'5', '1', '2'}):54725
frozenset({'4', '7', '2'}):54970
frozenset({'5', '1', '3'}):54648
frozenset({'4', '7', '3'}):54978
frozenset({'4', '5', '9'}):54961
frozenset({'4', '9', '3'}):54824
frozenset({'6', '9', '2'}):54659
frozenset({'5', '6', '2'}):54494
frozenset({'7', '2', '3'}):54858
frozenset({'0', '5', '8'}):53505
frozenset({' ', '7', '8'}):56234
frozenset({'4', '1', '6'}):54527
frozenset({'7', '8', '2'}):55193
frozenset({'0', '7', '9'}):53429
frozenset({'4', ' ', '9'}):55903
frozenset({'1', '8', '3'}):54750
frozenset({'5', '9', '8'}):55187
frozenset({'0', '6', '2'}):52882
frozenset({'0', '4', '7'}):53421
frozenset({'4', '5', '0'}):53359
frozenset({'0', '4', '9'}):53349
frozenset({'6', '8', '3'}):54603
frozenset({'4', ' ', '2'}):55736
frozenset({' ', '6', '2'}):55430
frozenset({'0', '1', '2'}):53027
frozenset({'5', '8', '2'}):55106
frozenset({'4', '1', '7'}):54946
frozenset({' ', '8', '6'}):55719
frozenset({'3', '5', '2'}):54759
frozenset({'7', '9', '2'}):55037
frozenset({'4', '9', '6'}):54635
frozenset({'0', ' ', '3'}):53934
frozenset({'3', '1', '6'}):54294
frozenset({' ', '8', '2'}):56022
frozenset({'4', '7', '6'}):54787
frozenset({'4', '5', '3'}):54845
frozenset({'0', '8', '6'}):53127
frozenset({' ', '1', '8'}):55867
frozenset({'1', '2', '3'}):54571
frozenset({'5', '7', '6'}):54730
frozenset({'4', ' ', '0'}):54093
frozenset({'6', '9', '3'}):54438
frozenset({'5', '9', '3'}):54805
frozenset({' ', '7', '2'}):55908
frozenset({'0', '5', '2'}):53239
frozenset({' ', '1', '2'}):55594
frozenset({'0', '1', '6'}):52852
frozenset({' ', '5', '9'}):55926
frozenset({' ', '9', '3'}):55693
frozenset({'0', '1', '7'}):53202
frozenset({' ', '5', '7'}):56038
frozenset({'7', '9', '8'}):55277
frozenset({'5', '8', '3'}):55017
frozenset({'4', '7', '8'}):55278
frozenset({'5', '1', '8'}):54984
frozenset({'0', '5', '9'}):53372
frozenset({'0', '7', '3'}):53293
frozenset({' ', '1', '9'}):55767
frozenset({'6', '8', '2'}):54762
frozenset({'0', '9', '6'}):53023
frozenset({'7', '6', '3'}):54569
frozenset({'1', '9', '2'}):54817
frozenset({'0', '1', '8'}):53229
frozenset({'4', ' ', '8'}):56078
frozenset({'3', '6', '2'}):54402
frozenset({'0', '7', '8'}):53520
frozenset({'5', '1', '7'}):54920
frozenset({'1', '7', '9'}):54955
frozenset({'1', '7', '3'}):54721
frozenset({'0', ' ', '9'}):54126
frozenset({'5', '1', '9'}):54868
frozenset({'1', '9', '6'}):54566
frozenset({'5', '9', '2'}):54942
frozenset({'4', '2', '6'}):54514
frozenset({' ', '8', '3'}):55880
frozenset({'4', '5', '2'}):54814
frozenset({'4', '5', '1'}):54827
frozenset({'0', '9', '3'}):53201
frozenset({' ', '1', '7'}):55804
frozenset({'0', '5', '3'}):53227
frozenset({'4', '5', ' '}):55866
frozenset({'0', '7', '6'}):53040
frozenset({'4', '9', '8'}):55139
frozenset({'7', '8', '3'}):55089
frozenset({'5', '8', '6'}):54776
frozenset({'9', '8', '6'}):54850
frozenset({'4', '0', '3'}):53189
frozenset({'1', '8', '2'}):54899
frozenset({' ', '7', '6'}):55657
frozenset({'4', '0', '6'}):52960
frozenset({'3', '0', '2'}):53105
frozenset({'1', '8', '6'}):54672
frozenset({' ', '9', '2'}):55884
frozenset({'0', ' ', '8'}):54218
frozenset({'4', ' ', '7'}):56041
frozenset({'4', '1', '3'}):54670
frozenset({'0', '8', '2'}):53346
frozenset({' ', '5', '8'}):56125
frozenset({'4', '2', '3'}):54736
frozenset({'4', '1', '2'}):54708
frozenset({'4', '5', '6'}):54570
frozenset({'4', '3', '6'}):54447
frozenset({'4', '5', '7'}):55099
frozenset({'4', '7', '9'}):55102
frozenset({'0', '9', '8'}):53463
frozenset({'1', '7', '2'}):54796
frozenset({'4', '1', '9'}):54884
frozenset({'5', '7', '9'}):55097
frozenset({'8', '2', '3'}):54938
frozenset({'4', ' ', '6'}):55491
frozenset({'4', '1', '0'}):53162
frozenset({'4', '0', '2'}):53177
frozenset({'1', '7', '8'}):55060
frozenset({'0', '9', '2'}):53280
frozenset({'0', '5', '1'}):53143
frozenset({' ', '7', '3'}):55838
frozenset({'0', '1', '9'}):53210
frozenset({'4', ' ', '1'}):55722
frozenset({' ', '3', '4', '5'}):54845
frozenset({' ', '4', '7', '9'}):55102
frozenset({'2', '5', '8', '6'}):53909
frozenset({' ', '0', '5', '1'}):53143
frozenset({'4', '1', '7', '9'}):54177
frozenset({'4', '1', '0', '8'}):52593
frozenset({'2', '0', '1', '8'}):52489
frozenset({' ', '1', '8', '6'}):54672
frozenset({'2', '3', '1', '9'}):53873
frozenset({'4', '5', '1', '6'}):53725
frozenset({'1', '7', '9', '8'}):54288
frozenset({' ', '2', '4', '1'}):54708
frozenset({'3', '7', '8', '6'}):53974
frozenset({'5', '9', '8', '6'}):54012
frozenset({' ', '2', '4', '7'}):54970
frozenset({'7', '9', '8', '6'}):54180
frozenset({' ', '2', '4', '5'}):54814
frozenset({'3', '0', '5', '7'}):52653
frozenset({'3', '5', '7', '6'}):53798
frozenset({' ', '3', '4', '0'}):53189
frozenset({'2', '4', '7', '9'}):54187
frozenset({' ', '5', '8', '6'}):54776
frozenset({'2', '3', '4', '5'}):53947
frozenset({'2', '5', '7', '9'}):54198
frozenset({' ', '4', '8', '6'}):54798
frozenset({' ', '3', '0', '9'}):53201
frozenset({' ', '0', '5', '7'}):53430
frozenset({' ', '3', '0', '7'}):53293
frozenset({'0', '5', '9', '8'}):52816
frozenset({'4', '0', '9', '8'}):52770
frozenset({' ', '2', '3', '9'}):54777
frozenset({'2', '0', '9', '6'}):52326
frozenset({'3', '4', '1', '8'}):54010
frozenset({' ', '2', '1', '9'}):54817
frozenset({'0', '4', '7', '9'}):52737
frozenset({' ', '4', '0', '8'}):53452
frozenset({'2', '3', '0', '6'}):52129
frozenset({' ', '2', '3', '1'}):54571
frozenset({'2', '0', '1', '9'}):52482
frozenset({'2', '3', '7', '8'}):54234
frozenset({'2', '5', '9', '8'}):54326
frozenset({' ', '4', '7', '6'}):54787
frozenset({' ', '0', '1', '9'}):53210
frozenset({'3', '4', '5', '1'}):53926
frozenset({'2', '1', '9', '6'}):53782
frozenset({'5', '1', '7', '6'}):53839
frozenset({'0', '1', '7', '8'}):52628
frozenset({' ', '3', '0', '1'}):52976
frozenset({'4', '1', '9', '6'}):53791
frozenset({'4', '5', '1', '9'}):54082
frozenset({'0', '5', '7', '6'}):52389
frozenset({'3', '0', '9', '6'}):52203
frozenset({'1', '7', '8', '6'}):54013
frozenset({'3', '7', '9', '8'}):54238
frozenset({'2', '4', '8', '6'}):53911
frozenset({' ', '5', '7', '9'}):55097
frozenset({' ', '5', '9', '8'}):55187
frozenset({'2', '4', '7', '6'}):53891
frozenset({' ', '3', '7', '8'}):55089
frozenset({' ', '4', '9', '8'}):55139
frozenset({'2', '5', '7', '6'}):53846
frozenset({'3', '4', '5', '7'}):54186
frozenset({'3', '4', '7', '9'}):54141
frozenset({'3', '4', '5', '9'}):54020
frozenset({'0', '5', '8', '6'}):52473
frozenset({' ', '2', '3', '0'}):53105
frozenset({'4', '0', '8', '6'}):52458
frozenset({'2', '0', '7', '8'}):52728
frozenset({' ', '3', '4', '7'}):54978
frozenset({'4', '5', '1', '0'}):52524
frozenset({' ', '2', '3', '6'}):54402
frozenset({'2', '0', '5', '7'}):52627
frozenset({'2', '3', '0', '9'}):52487
frozenset({'2', '0', '5', '1'}):52399
frozenset({'2', '0', '1', '6'}):52142
frozenset({' ', '0', '1', '6'}):52852
frozenset({'1', '7', '9', '6'}):53898
frozenset({'5', '1', '7', '9'}):54154
frozenset({'3', '5', '1', '7'}):53990
frozenset({' ', '5', '1', '8'}):54984
frozenset({'2', '4', '1', '8'}):54074
frozenset({'0', '5', '7', '9'}):52751
frozenset({'2', '4', '9', '8'}):54257
frozenset({' ', '5', '7', '6'}):54730
frozenset({'4', '0', '8', '7'}):52845
frozenset({' ', '2', '0', '6'}):52882
frozenset({'3', '0', '9', '8'}):52605
frozenset({'0', '5', '7', '8'}):52887
frozenset({' ', '2', '3', '8'}):54938
frozenset({'3', '4', '7', '6'}):53840
frozenset({' ', '2', '5', '8'}):55106
frozenset({'4', '7', '9', '6'}):54001
frozenset({'3', '4', '5', '6'}):53664
frozenset({'2', '3', '5', '7'}):54094
frozenset({' ', '3', '8', '6'}):54603
frozenset({' ', '0', '5', '4'}):53359
frozenset({'3', '5', '9', '6'}):53659
frozenset({'2', '3', '5', '8'}):54166
frozenset({'2', '0', '5', '6'}):52236
frozenset({'2', '3', '1', '8'}):53960
frozenset({' ', '2', '3', '7'}):54858
frozenset({'4', '7', '8', '6'}):54167
frozenset({' ', '2', '5', '9'}):54942
frozenset({'4', '3', '0', '1'}):52352
frozenset({'3', '4', '1', '6'}):53589
frozenset({'2', '4', '1', '7'}):54024
frozenset({'2', '1', '7', '6'}):53792
frozenset({' ', '1', '7', '6'}):54639
frozenset({' ', '5', '1', '7'}):54920
frozenset({' ', '3', '5', '7'}):54968
frozenset({'0', '5', '1', '9'}):52548
frozenset({'3', '0', '5', '1'}):52361
frozenset({'1', '9', '8', '6'}):53932
frozenset({'2', '3', '4', '0'}):52419
frozenset({'0', '5', '9', '6'}):52361
frozenset({' ', '2', '0', '5'}):53239
frozenset({' ', '2', '0', '9'}):53280
frozenset({'3', '0', '8', '6'}):52302
frozenset({' ', '2', '0', '4'}):53177
frozenset({' ', '0', '5', '6'}):52963
frozenset({' ', '3', '4', '8'}):55000
frozenset({'0', '9', '8', '6'}):52505
frozenset({' ', '3', '9', '8'}):54939
frozenset({'2', '3', '8', '6'}):53818
frozenset({'2', '0', '5', '9'}):52622
frozenset({'2', '5', '1', '8'}):54118
frozenset({'3', '0', '4', '6'}):52163
frozenset({'0', '4', '9', '6'}):52350
frozenset({'4', '5', '1', '8'}):54174
frozenset({'3', '4', '5', '8'}):54210
frozenset({' ', '2', '5', '6'}):54494
frozenset({'4', '7', '9', '8'}):54427
frozenset({'2', '9', '8', '6'}):54051
frozenset({' ', '4', '5', '7'}):55099
frozenset({' ', '3', '4', '9'}):54824
frozenset({' ', '2', '1', '8'}):54899
frozenset({'3', '4', '1', '9'}):53929
frozenset({'2', '4', '1', '6'}):53684
frozenset({' ', '4', '1', '8'}):54971
frozenset({'2', '1', '7', '9'}):54081
frozenset({' ', '1', '7', '9'}):54955
frozenset({' ', '0', '7', '8'}):53520
frozenset({'3', '1', '9', '8'}):53995
frozenset({'2', '3', '4', '8'}):54115
frozenset({'0', '5', '1', '6'}):52200
frozenset({'0', '1', '7', '9'}):52603
frozenset({' ', '7', '9', '6'}):54797
frozenset({'2', '4', '5', '8'}):54204
frozenset({'3', '5', '8', '6'}):53821
frozenset({'4', '2', '0', '1'}):52382
frozenset({'3', '9', '8', '6'}):53826
frozenset({' ', '5', '1', '6'}):54479
frozenset({' ', '3', '1', '7'}):54721
frozenset({'3', '7', '9', '6'}):53801
frozenset({'2', '3', '5', '9'}):53989
frozenset({' ', '0', '5', '9'}):53372
frozenset({'4', '5', '0', '8'}):52815
frozenset({'2', '4', '7', '3'}):54080
frozenset({'2', '3', '9', '8'}):54155
frozenset({' ', '2', '5', '7'}):54986
frozenset({'2', '3', '0', '1'}):52280
frozenset({'4', '5', '8', '6'}):53964
frozenset({'4', '9', '8', '6'}):54014
frozenset({' ', '2', '7', '9'}):55037
frozenset({'3', '4', '5', '0'}):52566
frozenset({' ', '4', '1', '7'}):54946
frozenset({'3', '4', '0', '9'}):52523
frozenset({'4', '1', '9', '8'}):54210
frozenset({'2', '0', '7', '6'}):52290
frozenset({' ', '2', '1', '7'}):54796
frozenset({' ', '3', '4', '6'}):54447
frozenset({'4', '5', '1', '7'}):54152
frozenset({' ', '1', '7', '8'}):55060
frozenset({'2', '4', '1', '9'}):54010
frozenset({'5', '1', '9', '6'}):53767
frozenset({'3', '0', '1', '8'}):52401
frozenset({'2', '5', '1', '7'}):54022
frozenset({'3', '5', '1', '8'}):54022
frozenset({'2', '4', '5', '0'}):52547
frozenset({'3', '1', '8', '6'}):53681
frozenset({'0', '1', '9', '6'}):52272
frozenset({'0', '1', '7', '6'}):52274
frozenset({'3', '5', '9', '8'}):54161
frozenset({' ', '5', '1', '9'}):54868
frozenset({'2', '0', '5', '8'}):52725
frozenset({'2', '0', '9', '8'}):52727
frozenset({'2', '3', '9', '6'}):53699
frozenset({'2', '3', '5', '6'}):53619
frozenset({' ', '0', '7', '6'}):53040
frozenset({' ', '0', '9', '6'}):53023
frozenset({'4', '5', '7', '9'}):54259
frozenset({' ', '2', '8', '6'}):54762
frozenset({' ', '2', '0', '7'}):53275
frozenset({' ', '3', '5', '8'}):55017
frozenset({' ', '2', '7', '6'}):54675
frozenset({'4', '5', '9', '8'}):54307
frozenset({'4', '1', '8', '6'}):53896
frozenset({'2', '3', '0', '5'}):52486
frozenset({'2', '0', '7', '9'}):52644
frozenset({'2', '5', '1', '6'}):53654
frozenset({'2', '4', '5', '1'}):53921
frozenset({'3', '1', '9', '6'}):53574
frozenset({' ', '4', '0', '1'}):53162
frozenset({'3', '1', '7', '6'}):53671
frozenset({' ', '2', '0', '1'}):53027
frozenset({'3', '4', '1', '7'}):54004
frozenset({' ', '2', '3', '4'}):54736
frozenset({' ', '0', '9', '8'}):53463
frozenset({'3', '1', '7', '8'}):54067
frozenset({' ', '0', '5', '8'}):53505
frozenset({' ', '0', '4', '7'}):53421
frozenset({'2', '0', '8', '6'}):52383
frozenset({'2', '3', '4', '9'}):53969
frozenset({'3', '4', '0', '8'}):52618
frozenset({' ', '9', '8', '6'}):54850
frozenset({'2', '4', '5', '7'}):54137
frozenset({' ', '0', '7', '9'}):53429
frozenset({'4', '5', '9', '6'}):53816
frozenset({' ', '3', '0', '5'}):53227
frozenset({' ', '2', '7', '8'}):55193
frozenset({'3', '4', '9', '6'}):53687
frozenset({' ', '2', '9', '8'}):55163
frozenset({'4', '5', '7', '6'}):53956
frozenset({'3', '0', '7', '8'}):52704
frozenset({'5', '7', '9', '6'}):53968
frozenset({' ', '2', '4', '8'}):55020
frozenset({'1', '0', '4', '9'}):52567
frozenset({'4', '1', '7', '8'}):54276
frozenset({'2', '1', '9', '8'}):54188
frozenset({'2', '1', '7', '8'}):54171
frozenset({'3', '4', '8', '6'}):53841
frozenset({'2', '5', '1', '9'}):54026
frozenset({'3', '5', '1', '6'}):53550
frozenset({'3', '1', '7', '9'}):53973
frozenset({' ', '0', '1', '7'}):53202
frozenset({'3', '0', '5', '6'}):52183
frozenset({'0', '7', '9', '6'}):52437
frozenset({' ', '3', '1', '6'}):54294
frozenset({'3', '5', '7', '8'}):54337
frozenset({' ', '3', '7', '9'}):54910
frozenset({' ', '3', '5', '9'}):54805
frozenset({'0', '5', '1', '7'}):52555
frozenset({'5', '1', '9', '8'}):54216
frozenset({' ', '0', '8', '6'}):53127
frozenset({'2', '0', '4', '7'}):52590
frozenset({'3', '0', '7', '6'}):52255
frozenset({'2', '3', '4', '6'}):53636
frozenset({'2', '3', '0', '8'}):52559
frozenset({' ', '0', '4', '6'}):52960
frozenset({'2', '7', '8', '6'}):54083
frozenset({' ', '4', '5', '9'}):54961
frozenset({'4', '1', '0', '6'}):52224
frozenset({'2', '0', '7', '3'}):52531
frozenset({' ', '2', '5', '1'}):54725
frozenset({' ', '2', '0', '8'}):53346
frozenset({'2', '1', '8', '6'}):53847
frozenset({' ', '4', '1', '6'}):54527
frozenset({'0', '5', '4', '6'}):52317
frozenset({' ', '4', '5', '1'}):54827
frozenset({'4', '5', '7', '8'}):54451
frozenset({' ', '2', '9', '6'}):54659
frozenset({'3', '4', '9', '8'}):54157
frozenset({'0', '1', '8', '6'}):52327
frozenset({'0', '5', '1', '8'}):52602
frozenset({'2', '3', '1', '7'}):53895
frozenset({'3', '5', '1', '9'}):53903
frozenset({'3', '0', '5', '9'}):52554
frozenset({' ', '3', '1', '9'}):54654
frozenset({'2', '0', '4', '6'}):52204
frozenset({' ', '3', '0', '8'}):53287
frozenset({' ', '0', '1', '8'}):53229
frozenset({'3', '0', '1', '7'}):52414
frozenset({' ', '3', '7', '6'}):54569
frozenset({' ', '5', '9', '6'}):54629
frozenset({'2', '4', '7', '8'}):54324
frozenset({'3', '0', '1', '9'}):52396
frozenset({' ', '3', '5', '6'}):54411
frozenset({' ', '3', '9', '6'}):54438
frozenset({'5', '7', '8', '6'}):54136
frozenset({' ', '2', '4', '9'}):54897
frozenset({'5', '1', '8', '6'}):53864
frozenset({'3', '0', '7', '9'}):52619
frozenset({'0', '7', '9', '8'}):52834
frozenset({'3', '0', '5', '8'}):52689
frozenset({'2', '3', '7', '9'}):54076
frozenset({' ', '7', '8', '6'}):54968
frozenset({'2', '4', '5', '9'}):54063
frozenset({' ', '4', '0', '9'}):53349
frozenset({'2', '5', '7', '8'}):54384
frozenset({' ', '4', '9', '6'}):54635
frozenset({' ', '4', '5', '6'}):54570
frozenset({'2', '7', '9', '8'}):54402
frozenset({' ', '2', '3', '5'}):54759
frozenset({'2', '0', '1', '7'}):52421
frozenset({'0', '5', '4', '7'}):52760
frozenset({' ', '3', '4', '1'}):54670
frozenset({' ', '4', '1', '9'}):54884
frozenset({'0', '3', '4', '7'}):52622
frozenset({'4', '5', '0', '9'}):52687
frozenset({'0', '4', '7', '1'}):52575
frozenset({'4', '1', '7', '6'}):53899
frozenset({'0', '1', '9', '8'}):52632
frozenset({' ', '3', '1', '8'}):54750
frozenset({' ', '1', '9', '8'}):55014
frozenset({'4', '2', '3', '1'}):53829
frozenset({'2', '3', '1', '6'}):53546
frozenset({'2', '3', '5', '1'}):53836
frozenset({' ', '3', '5', '1'}):54648
frozenset({'5', '1', '7', '8'}):54284
frozenset({'2', '4', '0', '9'}):52563
frozenset({'3', '0', '1', '6'}):52053
frozenset({'5', '7', '9', '8'}):54451
frozenset({' ', '2', '4', '6'}):54514
frozenset({' ', '1', '9', '6'}):54566
frozenset({'3', '5', '7', '9'}):54126
frozenset({'0', '7', '8', '6'}):52535
frozenset({'2', '7', '9', '6'}):53956
frozenset({' ', '4', '5', '8'}):55142
frozenset({' ', '3', '0', '6'}):52806
frozenset({'2', '4', '0', '8'}):52631
frozenset({'2', '5', '9', '6'}):53813
frozenset({' ', '4', '7', '8'}):55278
frozenset({'2', '3', '7', '6'}):53766
frozenset({' ', '7', '9', '8'}):55277
frozenset({'2', '4', '5', '6'}):53679
frozenset({' ', '5', '7', '8'}):55313
frozenset({'2', '4', '9', '6'}):53809
frozenset({'3', '4', '7', '8'}):54315
frozenset({' ', '2', '1', '6'}):54457
frozenset({'0', '4', '7', '6'}):52397
frozenset({'4', '8', '6', '3', '1'}):53029
frozenset({'2', ' ', '3', '1', '7'}):53895
frozenset({'4', '0', '8', ' ', '3'}):52618
frozenset({'2', '0', '4', '8', '7'}):52097
frozenset({'0', '9', '6', ' ', '5'}):52361
frozenset({'2', '4', '0', ' ', '3'}):52419
frozenset({'2', '9', '3', '5', '7'}):53374
frozenset({'4', '8', '6', ' ', '3'}):53841
frozenset({'2', '0', ' ', '5', '7'}):52627
frozenset({'4', '0', '9', '8', '6'}):51894
frozenset({'2', '4', '6', '5', '7'}):53130
frozenset({'4', '0', '8', '6', '3'}):51712
