frozenset({'2'}):66460
frozenset({'4'}):66569
frozenset({'0'}):64582
frozenset({'9'}):66638
frozenset({'8'}):66818
frozenset({'6'}):66137
frozenset({' '}):67815
frozenset({'3'}):66348
frozenset({'5'}):66580
frozenset({'1'}):66337
frozenset({'7'}):66739
frozenset({'1', '6'}):65007
frozenset({' ', '7'}):66739
frozenset({'7', '3'}):65471
frozenset({'8', '3'}):65513
frozenset({'4', '8'}):65711
frozenset({'5', '2'}):65415
frozenset({' ', '2'}):66460
frozenset({'4', '6'}):65124
frozenset({'0', '9'}):63759
frozenset({'5', '3'}):65353
frozenset({'7', '9'}):65678
frozenset({'4', '5'}):65499
frozenset({'4', '3'}):65371
frozenset({' ', '8'}):66818
frozenset({'6', '2'}):65063
frozenset({'4', '2'}):65369
frozenset({'8', '6'}):65352
frozenset({'1', '3'}):65107
frozenset({' ', '5'}):66580
frozenset({'1', '9'}):65400
frozenset({' ', '3'}):66348
frozenset({'4', ' '}):66569
frozenset({'1', '2'}):65227
frozenset({'5', '8'}):65758
frozenset({'3', '2'}):65259
frozenset({'0', '5'}):63740
frozenset({'7', '6'}):65290
frozenset({' ', '1'}):66337
frozenset({'5', '7'}):65671
frozenset({' ', '9'}):66638
frozenset({'9', '3'}):65326
frozenset({'0', '7'}):63808
frozenset({'4', '0'}):63726
frozenset({'5', '9'}):65559
frozenset({'7', '8'}):65867
frozenset({'0', '8'}):63851
frozenset({'9', '8'}):65754
frozenset({'0', '2'}):63586
frozenset({'1', '7'}):65437
frozenset({'4', '1'}):65355
frozenset({'8', '2'}):65655
frozenset({'4', '9'}):65536
frozenset({'0', '6'}):63327
frozenset({'0', ' '}):64582
frozenset({'5', '1'}):65330
frozenset({'4', '7'}):65674
frozenset({'9', '2'}):65517
frozenset({'1', '8'}):65500
frozenset({'7', '2'}):65541
frozenset({' ', '6'}):66137
frozenset({'3', '6'}):64908
frozenset({'0', '1'}):63499
frozenset({'9', '6'}):65191
frozenset({'0', '3'}):63567
frozenset({'5', '6'}):65085
frozenset({'0', '1', '3'}):62609
frozenset({'9', '8', '3'}):64572
frozenset({'5', '7', '8'}):64946
frozenset({'7', '8', '6'}):64601
frozenset({'4', '8', '3'}):64633
frozenset({'5', ' ', '2'}):65415
frozenset({' ', '1', '5'}):65330
frozenset({'0', '5', '6'}):62596
frozenset({' ', '1', '6'}):65007
frozenset({'5', '9', '6'}):64262
frozenset({'7', '9', '3'}):64543
frozenset({'5', '7', '3'}):64601
frozenset({' ', '9', '8'}):65754
frozenset({'1', '2', '6'}):64090
frozenset({'6', '7', '2'}):64308
frozenset({'5', '7', '2'}):64619
frozenset({'0', '8', '3'}):62920
frozenset({'3', '9', '2'}):64410
frozenset({'1', '9', '3'}):64287
frozenset({'0', ' ', '7'}):63808
frozenset({'1', '7', '6'}):64272
frozenset({'0', ' ', '5'}):63740
frozenset({'0', ' ', '6'}):63327
frozenset({'5', '1', '6'}):64112
frozenset({'4', '9', '2'}):64530
frozenset({'4', '0', '8'}):63085
frozenset({'5', '6', '3'}):64044
frozenset({'7', '9', '6'}):64430
frozenset({' ', '1', '3'}):65107
frozenset({'0', '5', '7'}):63063
frozenset({'0', '3', '6'}):62439
frozenset({'4', '5', '8'}):64775
frozenset({'3', ' ', '2'}):65259
frozenset({'4', '8', '6'}):64431
frozenset({' ', '5', '6'}):65085
frozenset({' ', '9', '6'}):65191
frozenset({' ', '6', '3'}):64908
frozenset({'4', '8', '2'}):64653
frozenset({' ', '7', '9'}):65678
frozenset({'5', ' ', '3'}):65353
frozenset({'0', '7', '2'}):62908
frozenset({'4', '1', '8'}):64604
frozenset({'1', '9', '8'}):64647
frozenset({'9', '8', '2'}):64796
frozenset({'4', ' ', '3'}):65371
frozenset({'0', ' ', '1'}):63499
frozenset({'0', ' ', '2'}):63586
frozenset({'5', '1', '2'}):64358
frozenset({'4', '7', '2'}):64603
frozenset({'5', '1', '3'}):64281
frozenset({'4', '7', '3'}):64611
frozenset({'4', '5', '9'}):64594
frozenset({'4', '9', '3'}):64457
frozenset({'6', '9', '2'}):64292
frozenset({'5', '6', '2'}):64127
frozenset({'7', '2', '3'}):64491
frozenset({'0', '5', '8'}):63138
frozenset({' ', '7', '8'}):65867
frozenset({'4', '1', '6'}):64160
frozenset({'7', '8', '2'}):64826
frozenset({'0', '7', '9'}):63062
frozenset({'4', ' ', '9'}):65536
frozenset({'1', '8', '3'}):64383
frozenset({'5', '9', '8'}):64820
frozenset({'0', '6', '2'}):62515
frozenset({'0', '4', '7'}):63054
frozenset({'4', '5', '0'}):62992
frozenset({'0', '4', '9'}):62982
frozenset({'6', '8', '3'}):64236
frozenset({'4', ' ', '2'}):65369
frozenset({' ', '6', '2'}):65063
frozenset({'0', '1', '2'}):62660
frozenset({'5', '8', '2'}):64739
frozenset({'4', '1', '7'}):64579
frozenset({' ', '8', '6'}):65352
frozenset({'3', '5', '2'}):64392
frozenset({'7', '9', '2'}):64670
frozenset({'4', '9', '6'}):64268
frozenset({'0', ' ', '3'}):63567
frozenset({'3', '1', '6'}):63927
frozenset({' ', '8', '2'}):65655
frozenset({'4', '7', '6'}):64420
frozenset({'4', '5', '3'}):64478
frozenset({'0', '8', '6'}):62760
frozenset({' ', '1', '8'}):65500
frozenset({'1', '2', '3'}):64204
frozenset({'5', '7', '6'}):64363
frozenset({'4', ' ', '0'}):63726
frozenset({'6', '9', '3'}):64071
frozenset({'5', '9', '3'}):64438
frozenset({' ', '7', '2'}):65541
frozenset({'0', '5', '2'}):62872
frozenset({' ', '1', '2'}):65227
frozenset({'0', '1', '6'}):62485
frozenset({' ', '5', '9'}):65559
frozenset({' ', '9', '3'}):65326
frozenset({'0', '1', '7'}):62835
frozenset({' ', '5', '7'}):65671
frozenset({'7', '9', '8'}):64910
frozenset({'5', '8', '3'}):64650
frozenset({'4', '7', '8'}):64911
frozenset({'5', '1', '8'}):64617
frozenset({'0', '5', '9'}):63005
frozenset({'0', '7', '3'}):62926
frozenset({' ', '1', '9'}):65400
frozenset({'6', '8', '2'}):64395
frozenset({'0', '9', '6'}):62656
frozenset({'7', '6', '3'}):64202
frozenset({'1', '9', '2'}):64450
frozenset({'0', '1', '8'}):62862
frozenset({'4', ' ', '8'}):65711
frozenset({'3', '6', '2'}):64035
