frozenset({'2'}):59106
frozenset({'4'}):59215
frozenset({'0'}):57228
frozenset({'9'}):59284
frozenset({'8'}):59464
frozenset({'6'}):58783
frozenset({' '}):60461
frozenset({'3'}):58994
frozenset({'5'}):59226
frozenset({'1'}):58983
frozenset({'7'}):59385
frozenset({'1', '6'}):57653
frozenset({' ', '7'}):59385
frozenset({'7', '3'}):58117
frozenset({'8', '3'}):58159
frozenset({'4', '8'}):58357
frozenset({'5', '2'}):58061
frozenset({' ', '2'}):59106
frozenset({'4', '6'}):57770
frozenset({'0', '9'}):56405
frozenset({'5', '3'}):57999
frozenset({'7', '9'}):58324
frozenset({'4', '5'}):58145
frozenset({'4', '3'}):58017
frozenset({' ', '8'}):59464
frozenset({'6', '2'}):57709
frozenset({'4', '2'}):58015
frozenset({'8', '6'}):57998
frozenset({'1', '3'}):57753
frozenset({' ', '5'}):59226
frozenset({'1', '9'}):58046
frozenset({' ', '3'}):58994
frozenset({'4', ' '}):59215
frozenset({'1', '2'}):57873
frozenset({'5', '8'}):58404
frozenset({'3', '2'}):57905
frozenset({'0', '5'}):56386
frozenset({'7', '6'}):57936
frozenset({' ', '1'}):58983
frozenset({'5', '7'}):58317
frozenset({' ', '9'}):59284
frozenset({'9', '3'}):57972
frozenset({'0', '7'}):56454
frozenset({'4', '0'}):56372
frozenset({'5', '9'}):58205
frozenset({'7', '8'}):58513
frozenset({'0', '8'}):56497
frozenset({'9', '8'}):58400
frozenset({'0', '2'}):56232
frozenset({'1', '7'}):58083
frozenset({'4', '1'}):58001
frozenset({'8', '2'}):58301
frozenset({'4', '9'}):58182
frozenset({'0', '6'}):55973
frozenset({'0', ' '}):57228
frozenset({'5', '1'}):57976
frozenset({'4', '7'}):58320
frozenset({'9', '2'}):58163
frozenset({'1', '8'}):58146
frozenset({'7', '2'}):58187
frozenset({' ', '6'}):58783
frozenset({'3', '6'}):57554
frozenset({'0', '1'}):56145
frozenset({'9', '6'}):57837
frozenset({'0', '3'}):56213
frozenset({'5', '6'}):57731
frozenset({'0', '1', '3'}):55255
frozenset({'9', '8', '3'}):57218
frozenset({'5', '7', '8'}):57592
frozenset({'7', '8', '6'}):57247
frozenset({'4', '8', '3'}):57279
frozenset({'5', ' ', '2'}):58061
frozenset({' ', '1', '5'}):57976
frozenset({'0', '5', '6'}):55242
frozenset({' ', '1', '6'}):57653
frozenset({'5', '9', '6'}):56908
frozenset({'7', '9', '3'}):57189
frozenset({'5', '7', '3'}):57247
frozenset({' ', '9', '8'}):58400
frozenset({'1', '2', '6'}):56736
frozenset({'6', '7', '2'}):56954
frozenset({'5', '7', '2'}):57265
frozenset({'0', '8', '3'}):55566
frozenset({'3', '9', '2'}):57056
frozenset({'1', '9', '3'}):56933
frozenset({'0', ' ', '7'}):56454
frozenset({'1', '7', '6'}):56918
frozenset({'0', ' ', '5'}):56386
frozenset({'0', ' ', '6'}):55973
frozenset({'5', '1', '6'}):56758
frozenset({'4', '9', '2'}):57176
frozenset({'4', '0', '8'}):55731
frozenset({'5', '6', '3'}):56690
frozenset({'7', '9', '6'}):57076
frozenset({' ', '1', '3'}):57753
frozenset({'0', '5', '7'}):55709
frozenset({'0', '3', '6'}):55085
frozenset({'4', '5', '8'}):57421
frozenset({'3', ' ', '2'}):57905
frozenset({'4', '8', '6'}):57077
frozenset({' ', '5', '6'}):57731
frozenset({' ', '9', '6'}):57837
frozenset({' ', '6', '3'}):57554
frozenset({'4', '8', '2'}):57299
frozenset({' ', '7', '9'}):58324
frozenset({'5', ' ', '3'}):57999
frozenset({'0', '7', '2'}):55554
frozenset({'4', '1', '8'}):57250
frozenset({'1', '9', '8'}):57293
frozenset({'9', '8', '2'}):57442
frozenset({'4', ' ', '3'}):58017
frozenset({'0', ' ', '1'}):56145
frozenset({'0', ' ', '2'}):56232
frozenset({'5', '1', '2'}):57004
frozenset({'4', '7', '2'}):57249
frozenset({'5', '1', '3'}):56927
frozenset({'4', '7', '3'}):57257
frozenset({'4', '5', '9'}):57240
frozenset({'4', '9', '3'}):57103
frozenset({'6', '9', '2'}):56938
frozenset({'5', '6', '2'}):56773
frozenset({'7', '2', '3'}):57137
frozenset({'0', '5', '8'}):55784
frozenset({' ', '7', '8'}):58513
frozenset({'4', '1', '6'}):56806
frozenset({'7', '8', '2'}):57472
frozenset({'0', '7', '9'}):55708
frozenset({'4', ' ', '9'}):58182
frozenset({'1', '8', '3'}):57029
frozenset({'5', '9', '8'}):57466
frozenset({'0', '6', '2'}):55161
frozenset({'0', '4', '7'}):55700
frozenset({'4', '5', '0'}):55638
frozenset({'0', '4', '9'}):55628
frozenset({'6', '8', '3'}):56882
frozenset({'4', ' ', '2'}):58015
frozenset({' ', '6', '2'}):57709
frozenset({'0', '1', '2'}):55306
frozenset({'5', '8', '2'}):57385
frozenset({'4', '1', '7'}):57225
frozenset({' ', '8', '6'}):57998
frozenset({'3', '5', '2'}):57038
frozenset({'7', '9', '2'}):57316
frozenset({'4', '9', '6'}):56914
frozenset({'0', ' ', '3'}):56213
frozenset({'3', '1', '6'}):56573
frozenset({' ', '8', '2'}):58301
frozenset({'4', '7', '6'}):57066
frozenset({'4', '5', '3'}):57124
frozenset({'0', '8', '6'}):55406
frozenset({' ', '1', '8'}):58146
frozenset({'1', '2', '3'}):56850
frozenset({'5', '7', '6'}):57009
frozenset({'4', ' ', '0'}):56372
frozenset({'6', '9', '3'}):56717
frozenset({'5', '9', '3'}):57084
frozenset({' ', '7', '2'}):58187
frozenset({'0', '5', '2'}):55518
frozenset({' ', '1', '2'}):57873
frozenset({'0', '1', '6'}):55131
frozenset({' ', '5', '9'}):58205
frozenset({' ', '9', '3'}):57972
frozenset({'0', '1', '7'}):55481
frozenset({' ', '5', '7'}):58317
frozenset({'7', '9', '8'}):57556
frozenset({'5', '8', '3'}):57296
frozenset({'4', '7', '8'}):57557
frozenset({'5', '1', '8'}):57263
frozenset({'0', '5', '9'}):55651
frozenset({'0', '7', '3'}):55572
frozenset({' ', '1', '9'}):58046
frozenset({'6', '8', '2'}):57041
frozenset({'0', '9', '6'}):55302
frozenset({'7', '6', '3'}):56848
