frozenset({'2'}):18677
frozenset({'4'}):18788
frozenset({'0'}):16818
frozenset({'9'}):18855
frozenset({'8'}):19035
frozenset({'6'}):18360
frozenset({' '}):20032
frozenset({'3'}):18570
frozenset({'5'}):18797
frozenset({'1'}):18554
frozenset({'7'}):18956
frozenset({'1', '6'}):17230
frozenset({' ', '7'}):18956
frozenset({'7', '3'}):17693
frozenset({'8', '3'}):17735
frozenset({'4', '8'}):17930
frozenset({'5', '2'}):17632
frozenset({' ', '2'}):18677
frozenset({'4', '6'}):17349
frozenset({'0', '9'}):15995
frozenset({'5', '3'}):17575
frozenset({'7', '9'}):17895
frozenset({'4', '5'}):17718
frozenset({'4', '3'}):17595
frozenset({' ', '8'}):19035
frozenset({'6', '2'}):17286
frozenset({'4', '2'}):17588
frozenset({'8', '6'}):17575
frozenset({'1', '3'}):17329
frozenset({' ', '5'}):18797
frozenset({'1', '9'}):17617
frozenset({' ', '3'}):18570
frozenset({'4', ' '}):18788
frozenset({'1', '2'}):17444
frozenset({'5', '8'}):17975
frozenset({'3', '2'}):17481
frozenset({'0', '5'}):15976
frozenset({'7', '6'}):17513
frozenset({' ', '1'}):18554
frozenset({'5', '7'}):17888
frozenset({' ', '9'}):18855
frozenset({'9', '3'}):17548
frozenset({'0', '7'}):16044
frozenset({'4', '0'}):15964
frozenset({'5', '9'}):17776
frozenset({'7', '8'}):18084
frozenset({'0', '8'}):16087
frozenset({'9', '8'}):17971
frozenset({'0', '2'}):15822
frozenset({'1', '7'}):17654
frozenset({'4', '1'}):17574
frozenset({'8', '2'}):17872
frozenset({'4', '9'}):17755
frozenset({'0', '6'}):15569
frozenset({'0', ' '}):16818
frozenset({'5', '1'}):17547
frozenset({'4', '7'}):17893
frozenset({'9', '2'}):17734
frozenset({'1', '8'}):17717
frozenset({'7', '2'}):17758
frozenset({' ', '6'}):18360
frozenset({'3', '6'}):17136
frozenset({'0', '1'}):15735
frozenset({'9', '6'}):17414
frozenset({'0', '3'}):15808
frozenset({'5', '6'}):17308
frozenset({'0', '1', '3'}):14850
frozenset({'9', '8', '3'}):16794
frozenset({'5', '7', '8'}):17163
frozenset({'7', '8', '6'}):16824
frozenset({'4', '8', '3'}):16857
frozenset({'5', ' ', '2'}):17632
frozenset({' ', '1', '5'}):17547
frozenset({'0', '5', '6'}):14838
frozenset({' ', '1', '6'}):17230
frozenset({'5', '9', '6'}):16485
frozenset({'7', '9', '3'}):16765
frozenset({'5', '7', '3'}):16823
frozenset({' ', '9', '8'}):17971
frozenset({'1', '2', '6'}):16313
frozenset({'6', '7', '2'}):16531
frozenset({'5', '7', '2'}):16836
frozenset({'0', '8', '3'}):15161
frozenset({'3', '9', '2'}):16632
frozenset({'1', '9', '3'}):16509
frozenset({'0', ' ', '7'}):16044
frozenset({'1', '7', '6'}):16495
frozenset({'0', ' ', '5'}):15976
frozenset({'0', ' ', '6'}):15569
frozenset({'5', '1', '6'}):16335
frozenset({'4', '9', '2'}):16749
frozenset({'4', '0', '8'}):15323
frozenset({'5', '6', '3'}):16272
frozenset({'7', '9', '6'}):16653
frozenset({' ', '1', '3'}):17329
frozenset({'0', '5', '7'}):15299
frozenset({'0', '3', '6'}):14686
frozenset({'4', '5', '8'}):16994
frozenset({'3', ' ', '2'}):17481
frozenset({'4', '8', '6'}):16656
frozenset({' ', '5', '6'}):17308
frozenset({' ', '9', '6'}):17414
frozenset({' ', '6', '3'}):17136
frozenset({'4', '8', '2'}):16872
frozenset({' ', '7', '9'}):17895
frozenset({'5', ' ', '3'}):17575
frozenset({'0', '7', '2'}):15144
frozenset({'4', '1', '8'}):16823
frozenset({'1', '9', '8'}):16864
frozenset({'9', '8', '2'}):17013
frozenset({'4', ' ', '3'}):17595
frozenset({'0', ' ', '1'}):15735
frozenset({'0', ' ', '2'}):15822
frozenset({'5', '1', '2'}):16575
frozenset({'4', '7', '2'}):16822
frozenset({'5', '1', '3'}):16503
frozenset({'4', '7', '3'}):16835
frozenset({'4', '5', '9'}):16813
frozenset({'4', '9', '3'}):16681
frozenset({'6', '9', '2'}):16515
frozenset({'5', '6', '2'}):16350
frozenset({'7', '2', '3'}):16713
frozenset({'0', '5', '8'}):15374
frozenset({' ', '7', '8'}):18084
frozenset({'4', '1', '6'}):16385
frozenset({'7', '8', '2'}):17043
frozenset({'0', '7', '9'}):15298
frozenset({'4', ' ', '9'}):17755
frozenset({'1', '8', '3'}):16605
frozenset({'5', '9', '8'}):17037
frozenset({'0', '6', '2'}):14757
frozenset({'0', '4', '7'}):15292
frozenset({'4', '5', '0'}):15230
frozenset({'0', '4', '9'}):15220
frozenset({'6', '8', '3'}):16464
frozenset({'4', ' ', '2'}):17588
frozenset({' ', '6', '2'}):17286
frozenset({'0', '1', '2'}):14896
frozenset({'5', '8', '2'}):16956
frozenset({'4', '1', '7'}):16798
frozenset({' ', '8', '6'}):17575
frozenset({'3', '5', '2'}):16614
frozenset({'7', '9', '2'}):16887
frozenset({'4', '9', '6'}):16493
frozenset({'0', ' ', '3'}):15808
frozenset({'3', '1', '6'}):16155
frozenset({' ', '8', '2'}):17872
frozenset({'4', '7', '6'}):16645
frozenset({'4', '5', '3'}):16702
frozenset({'0', '8', '6'}):15002
frozenset({' ', '1', '8'}):17717
frozenset({'1', '2', '3'}):16426
frozenset({'5', '7', '6'}):16586
frozenset({'4', ' ', '0'}):15964
frozenset({'6', '9', '3'}):16299
frozenset({'5', '9', '3'}):16660
frozenset({' ', '7', '2'}):17758
frozenset({'0', '5', '2'}):15108
frozenset({' ', '1', '2'}):17444
frozenset({'0', '1', '6'}):14727
frozenset({' ', '5', '9'}):17776
frozenset({' ', '9', '3'}):17548
frozenset({'0', '1', '7'}):15071
frozenset({' ', '5', '7'}):17888
frozenset({'7', '9', '8'}):17127
frozenset({'5', '8', '3'}):16872
frozenset({'4', '7', '8'}):17130
frozenset({'5', '1', '8'}):16834
frozenset({'0', '5', '9'}):15241
frozenset({'0', '7', '3'}):15167
frozenset({' ', '1', '9'}):17617
frozenset({'6', '8', '2'}):16618
frozenset({'0', '9', '6'}):14898
frozenset({'7', '6', '3'}):16430
frozenset({'1', '9', '2'}):16667
frozenset({'0', '1', '8'}):15098
frozenset({'4', ' ', '8'}):17930
frozenset({'3', '6', '2'}):16263
frozenset({'0', '7', '8'}):15389
frozenset({'5', '1', '7'}):16770
frozenset({'1', '7', '9'}):16805
frozenset({'1', '7', '3'}):16576
frozenset({'0', ' ', '9'}):15995
frozenset({'5', '1', '9'}):16718
frozenset({'1', '9', '6'}):16422
frozenset({'5', '9', '2'}):16792
frozenset({'4', '2', '6'}):16372
frozenset({' ', '8', '3'}):17735
frozenset({'4', '5', '2'}):16666
frozenset({'4', '5', '1'}):16679
frozenset({'0', '9', '3'}):15075
frozenset({' ', '1', '7'}):17654
frozenset({'0', '5', '3'}):15101
frozenset({'4', '5', ' '}):17718
frozenset({'0', '7', '6'}):14915
frozenset({'4', '9', '8'}):16991
frozenset({'7', '8', '3'}):16944
